Traceback (most recent call last):
  File "/home/ubuntu/clawd/scripts/email_notify_daemon.py", line 32, in <module>
    logging.FileHandler(LOG_FILE),
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/usr/lib/python3.12/logging/__init__.py", line 1231, in __init__
    StreamHandler.__init__(self, self._open())
                                 ^^^^^^^^^^^^
  File "/usr/lib/python3.12/logging/__init__.py", line 1263, in _open
    return open_func(self.baseFilename, self.mode,
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
PermissionError: [Errno 13] Permission denied: '/home/ubuntu/clawd/logs/email_daemon.log'
2026-02-03 15:34:12,118 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:34:12,176 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:34:12,176 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:36:12,436 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:36:12,436 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:36:12,495 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:36:12,495 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:38:12,752 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:38:12,752 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:38:12,811 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:38:12,811 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:40:13,050 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:40:13,050 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:40:13,116 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:40:13,116 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:42:13,377 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:42:13,377 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:42:13,453 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:42:13,453 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:44:13,712 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:44:13,712 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:44:13,781 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:44:13,781 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:46:14,035 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:46:14,035 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:46:14,096 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:46:14,096 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:48:14,360 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:48:14,360 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:48:14,428 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:48:14,428 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:50:14,677 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:50:14,677 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:50:14,738 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:50:14,738 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:52:14,995 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:52:14,995 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:52:15,061 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:52:15,061 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:54:15,311 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:54:15,311 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:54:15,377 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:54:15,377 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:56:15,632 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:56:15,632 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:56:15,695 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:56:15,695 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:58:15,947 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:58:15,947 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:58:16,015 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:58:16,015 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:00:16,300 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:00:16,300 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:00:16,357 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:00:16,357 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:02:16,603 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:02:16,603 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:02:16,662 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:02:16,662 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:04:16,921 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:04:16,921 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:04:16,995 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:04:16,995 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 16:06:17,243 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 16:06:17,243 - INFO - file_cache is only supported with oauth2client<4.0.0
